ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
422,23/12/2025,37/25,010402060401,3094,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3094,58,7,"43,8","6,3",INVFISICO,CAJA LBS LIBRE,3,,14,
423,23/12/2025,37/25,010402060401,3091,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3091,58,7,"41,2","5,9",INVFISICO,CAJA LBS LIBRE,3,,14,
424,23/12/2025,37/25,010402060401,3099,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3099,58,7,"43,2","6,2",INVFISICO,CAJA LBS LIBRE,3,,14,
425,23/12/2025,37/25,010402060601,3101,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3101,8 UP,5,"43,4","8,7",INVFISICO,CAJA LBS LIBRE,3,,14,
426,23/12/2025,37/25,010402060601,3103,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3103,8 UP,5,"44,8","9,0",INVFISICO,CAJA LBS LIBRE,3,,14,
427,23/12/2025,37/25,010402060601,3102,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3102,8 UP,5,"42,0","8,4",INVFISICO,CAJA LBS LIBRE,3,,14,
428,23/12/2025,37/25,010402060401,3117,ATUN,"LOMO SIN PIEL, NATURAL",A,17/9/2025,17/9/2026,3117,58,4,"26,4","6,6",INVFISICO,CAJA LBS LIBRE,3,,14,
429,23/12/2025,300/24,011004073701,2931,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2931,125 gr,100,"29,4","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
430,23/12/2025,300/24,011004073701,2929,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2929,125 gr,100,"29,2","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
431,23/12/2025,300/24,011004073701,2926,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2926,125 gr,100,"29,4","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
432,23/12/2025,300/24,011004073701,2932,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2932,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
433,23/12/2025,300/24,011004073701,2930,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2930,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
434,23/12/2025,300/24,011004073701,2921,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2921,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
435,23/12/2025,300/24,011004073701,2928,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2928,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
436,23/12/2025,300/24,011004073701,2933,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2933,125 gr,100,"29,2","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
437,23/12/2025,300/24,011004073701,2923,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2923,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
438,23/12/2025,300/24,011004073701,2927,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2927,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
439,23/12/2025,300/24,011004073701,2922,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2922,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
440,23/12/2025,300/24,011004073701,2919,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2919,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
441,23/12/2025,300/24,011004073701,2918,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2918,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
442,23/12/2025,300/24,011004073701,2913,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2913,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
443,23/12/2025,300/24,011004073701,2920,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2920,125 gr,100,"28,8","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
444,23/12/2025,300/24,011004073701,2901,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2901,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
445,23/12/2025,300/24,011004073701,2899,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2899,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
446,23/12/2025,300/24,011004073701,2902,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2902,125 gr,100,"28,8","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
447,23/12/2025,300/24,011004073701,2909,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2909,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
448,23/12/2025,300/24,011004073701,2107,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2107,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
449,23/12/2025,300/24,011004073701,2900,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2900,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
450,23/12/2025,300/24,011004073701,2908,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2908,125 gr,100,"29,2","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
451,23/12/2025,300/24,011004073701,2910,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2910,125 gr,100,"29,2","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
452,23/12/2025,300/24,011004073701,2903,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2903,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
453,23/12/2025,300/24,011004073701,2911,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2911,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
454,23/12/2025,300/24,011004073701,2912,ATUN,"PORCIONES SIN PIEL, CON CO",B,12/9/2025,12/9/2026,2912,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,15,
